name,slug,parentSlug,description,displayOrder,isActive,isFeatured,seoTitle,seoDescription,seoKeywords,canonicalUrl
"Brush Cutters & Grass Trimmers","brush-cutters","agriculture-machinery","Heavy-duty 43cc and 52cc petrol brush cutters equipped with 3-tooth blades and nylon cutting heads.",1,true,false,"Petrol Brush Cutters & Grass Trimmers Price in Kenya","Buy 43cc and 52cc petrol engine brush cutters in Nairobi, Kenya. Top brands Dera, Premier, Hawkings, and Windsor.","brush cutter kenya, grass trimmer price nairobi, dera brush cutter","https://nuruenergy.co.ke/categories/brush-cutters"
"Walking Tractors & Tillers","walking-tractors-tillers","agriculture-machinery","Heavy duty 15HP diesel walking tractors complete with rotary tiller attachments for small to medium scale farming.",2,true,false,"Diesel Walking Tractors & Rotary Tillers Price in Kenya","Heavy-duty 15HP diesel walking tractors with rotary tiller, plow, and trailer attachments in Nairobi, Kenya.","walking tractor kenya, 15hp diesel tiller nairobi, agricultural walking tractor","https://nuruenergy.co.ke/categories/walking-tractors-tillers"
"Seed Planters","seed-planters","agriculture-machinery","Hand-push single and double row automatic seed planters for maize, beans, peas, and sunflower planting.",3,true,false,"Hand Push Automatic Seed Planters Price in Kenya","Buy hand-push automatic maize and bean seed planters in Nairobi, Kenya. Save time and achieve accurate seed spacing.","seed planter kenya, hand push maize planter nairobi","https://nuruenergy.co.ke/categories/seed-planters"
"Knapsack Sprayers & Mist Blowers","knapsack-sprayers","agriculture-machinery","Manual and battery-powered 16L/20L knapsack sprayers and 2-stroke petrol mist blowers for farm crop spraying.",4,true,false,"Knapsack Sprayers & Gasoline Mist Blowers Price in Kenya","Shop 16L/20L battery knapsack sprayers and gasoline engine mist blowers in Nairobi, Kenya for crop protection and pest control.","knapsack sprayer kenya, battery sprayer price nairobi, mist blower kenya","https://nuruenergy.co.ke/categories/knapsack-sprayers"
"Milking Machines","milking-machines","agriculture-machinery","Electric single bucket and double bucket cow and goat milking machines for dairy farms.",5,true,false,"Cow & Goat Milking Machines Price in Kenya","Buy single and double bucket electric milking machines in Nairobi, Kenya for dairy cows and goats. Hygienic and fast milking.","milking machine kenya, cow milking machine price nairobi","https://nuruenergy.co.ke/categories/milking-machines"
"Silent Diesel Generators","silent-diesel-generators","generators","Soundproof silent canopy diesel generators for uninterrupted power in commercial buildings, hospitals, and homes.",1,true,false,"Silent Canopy Diesel Generators Price in Kenya | 10kVA - 50kVA","Buy soundproof silent canopy diesel generators in Nairobi, Kenya. Low noise operation with automatic mains failure ATS transfer.","silent diesel generator kenya, soundproof canopy generator, 10kva diesel generator","https://nuruenergy.co.ke/categories/silent-diesel-generators"
"Welding Machines & Accessories","welding-machines-accessories","construction-tools","Digital IGBT inverter MMA arc welders and MIG/TIG welding accessories for heavy metal fabrication.",1,true,false,"Inverter MMA Welding Machines Price in Kenya | 200A 250A 300A","Buy lightweight, power-efficient IGBT inverter arc welding machines in Nairobi, Kenya. Ideal for site fabrication & workshop welding.","welding machine kenya, inverter welder price nairobi, igbt mma welder","https://nuruenergy.co.ke/categories/welding-machines-accessories"
"High-Pressure Carwash Washers","high-pressure-carwash-washers","cleaning-equipment","Commercial high pressure electric and petrol washers designed for car wash yards, fleet cleaning, and pavement washing.",1,true,false,"High Pressure Carwash Washers Price in Kenya | Electric & Petrol","Professional 150-250 bar high pressure carwash washing machines in Nairobi, Kenya with commercial gun nozzle kits.","pressure washer carwash kenya, karcher pressure washer nairobi, electric carwash washer","https://nuruenergy.co.ke/categories/high-pressure-carwash-washers"
"Solar Water Heating Systems","solar-water-heaters","solar-power-kits","Pressurized, non-pressurized, and flat panel solar water heating systems for domestic, agricultural, and commercial hot water.",4,true,false,"Solar Water Heating Systems Price in Kenya | Pressurized & Flat Panel","Buy high efficiency 150L, 200L, and 300L solar water heaters in Nairobi, Kenya. Top brands Aquasun and Phoenix with 5-year warranty.","solar water heater kenya, solar water heating system nairobi, pressurized solar water heater price, aquasun solar heater","https://nuruenergy.co.ke/categories/solar-water-heaters"
"Delivery Pipes & Suction Hoses","delivery-suction-pipes","water-pumps","High pressure PVC delivery pipes, PE braided hoses, 8 bar canvas delivery pipes, and heavy duty clear wired/green suction pipes for agricultural irrigation.",4,true,false,"Delivery Pipes & Suction Hoses Price in Kenya | PVC, PE Braided & Canvas","Shop 1.5-inch to 4-inch PVC delivery pipes, PE braided hoses, 8 bar canvas pipes, and suction hoses in Nairobi, Kenya for farm water pumps.","delivery pipe kenya, suction pipe price nairobi, pvc delivery pipe 2 inch, canvas delivery pipe 8 bar","https://nuruenergy.co.ke/categories/delivery-suction-pipes"
"Cable Reels & Power Accessories","cable-reels-power-accessories","construction-tools","Heavy duty 25m and 50m extension cable reels with 1.5mm and 2.5mm copper cabling for workshop tools, construction sites, and farm power.",2,true,false,"Heavy Duty Extension Cable Reels Price in Kenya | 25m & 50m Reels","Buy 25m and 50m heavy duty extension cable reels (1.5mm & 2.5mm) in Nairobi, Kenya. Durable thermal overload protection for power tools.","cable reel kenya, extension reel price nairobi, powermate extension reel 50m","https://nuruenergy.co.ke/categories/cable-reels-power-accessories"
"Chaff Cutters & Feed Crushers","chaff-cutters-crushers","agriculture-machinery","Multifunctional electric, petrol, and diesel chaff cutters and grain crushers for dairy farm animal feed preparation.",6,true,false,"Multifunctional Chaff Cutters & Crushers Price in Kenya","Buy commercial multifunctional chaff cutters and feed crushers in Nairobi, Kenya. Efficient green fodder and dry stalk cutting for livestock.","chaff cutter kenya, feed crusher price nairobi, premier chaff cutter","https://nuruenergy.co.ke/categories/chaff-cutters-crushers"
